Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre03.g159400			Secretory pathway	GO:0008641	small protein activating enzyme activity	
Cre03.g167778			Mitochondrion			FAP382
Cre03.g148500			Secretory pathway			PWR6
Cre03.g149001			Mitochondrion			
Cre03.g201776				GO:0005515	protein binding	
Cre03.g150950	GMM:29.7	protein.glycosylation				DPM1
Cre03.g161450						
Cre03.g143747						
Cre03.g164000	GMM:1.1.40	PS.lightreaction.cyclic electron flow-chlororespiration	Chloroplast			ANR1
Cre03.g176325						
Cre03.g182800	GMM:13.2.4.1;GMM:13.1.1.3.11	amino acid metabolism.degradation.branched chain group.shared;amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase		GO:0030170;GO:0008483	pyridoxal phosphate binding;transaminase activity	AGT2
Cre03.g168300						
Cre03.g195250			Mitochondrion			
Cre03.g161850						
Cre03.g203681			Secretory pathway	GO:0006367;GO:0006366;GO:0005674	transcription initiation from RNA polymerase II promoter;transcription from RNA polymerase II promoter;transcription factor TFIIF complex	
Cre03.g204500						CSE17
Cre03.g206201			Mitochondrion			
Cre03.g171850						
Cre03.g187200	GMM:31.1	cell.organisation		GO:0007017;GO:0005875	microtubule-based process;microtubule associated complex	DLL2
Cre03.g177100			Secretory pathway			
Cre03.g144707	GMM:4.2.2;GMM:4.1.2	glycolysis.plastid branch.phosphoglucomutase (PGM);glycolysis.cytosolic branch.phosphoglucomutase (PGM)	Chloroplast	GO:0016868;GO:0005975	"intramolecular transferase activity, phosphotransferases;carbohydrate metabolic process"	
Cre03.g178100	GMM:31.6.1.11	cell.motility.eukaryotes.other		GO:0005515	protein binding	
Cre03.g143867			Secretory pathway			
Cre03.g181350	GMM:29.2.1.1.3.2.17	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L17		GO:0006412;GO:0005840;GO:0005622;GO:0003735	translation;ribosome;intracellular;structural constituent of ribosome	MRPL17
Cre03.g146607			Secretory pathway			
Cre03.g145607	GMM:34.99	transport.misc		GO:0016192	vesicle-mediated transport	BET3
Cre03.g204600			Secretory pathway			
Cre03.g177450			Chloroplast	GO:0004518	nuclease activity	
Cre03.g168750						
Cre03.g159254	GMM:34.5	transport.ammonium		GO:0072488;GO:0016020;GO:0015696;GO:0008519	ammonium transmembrane transport;membrane;ammonium transport;ammonium transmembrane transporter activity	
Cre03.g197850			Mitochondrion			
Cre03.g175800			Chloroplast	GO:0008168;GO:0006364	methyltransferase activity;rRNA processing	
Cre03.g179901			Mitochondrion			
Cre03.g153050						RWP1
Cre03.g168100						
Cre03.g204241						
Cre03.g148350			Chloroplast			
Cre03.g184100				GO:0016818;GO:0008270;GO:0003676	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;zinc ion binding;nucleic acid binding"	
Cre03.g204200						
Cre03.g180750	GMM:13.1.3.4.3;GMM:13.1.3.4	amino acid metabolism.synthesis.aspartate family.methionine.methionine synthase;amino acid metabolism.synthesis.aspartate family.methionine		GO:0009086;GO:0008652;GO:0008270;GO:0003871	methionine biosynthetic process;cellular amino acid biosynthetic process;zinc ion binding;5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	METE
Cre03.g184750						
Cre03.g145447	GMM:31.6.1.11	cell.motility.eukaryotes.other		GO:0006464	cellular protein modification process	
Cre03.g161400	GMM:13.1.6.5.5	amino acid metabolism.synthesis.aromatic aa.tryptophan.tryptophan synthase	Chloroplast			MAA7
Cre03.g201350			Chloroplast			
Cre03.g179000			Mitochondrion			
Cre03.g150500				GO:0050662;GO:0003824	coenzyme binding;catalytic activity	SNE10
Cre03.g204212			Chloroplast			
Cre03.g205400			Secretory pathway	GO:0005515	protein binding	
Cre03.g163350			Mitochondrion	GO:0055114;GO:0050661;GO:0016491;GO:0008677	oxidation-reduction process;NADP binding;oxidoreductase activity;2-dehydropantoate 2-reductase activity	PAN5
Cre03.g186850			Mitochondrion			
Cre03.g156050	GMM:31.2;GMM:29.2.5	cell.division;protein.synthesis.release	Chloroplast	GO:0006412	translation	
Cre03.g163266			Chloroplast			
Cre03.g146727	GMM:24	biodegradation of xenobiotics	Mitochondrion			GOX9
Cre03.g194350						
Cre03.g157100						
Cre03.g174150	GMM:31.1	cell.organisation	Chloroplast	GO:0005515	protein binding	
Cre03.g182150	GMM:1.1.99.1	PS.lightreaction.unspecified.TEF	Chloroplast			TEF8
Cre03.g149700			Chloroplast			
Cre03.g191650			Mitochondrion			
Cre03.g155750			Secretory pathway			PHC65
Cre03.g158100						
Cre03.g185500	GMM:31.6.1.10;GMM:26.13	cell.motility.eukaryotes.flagellar associated proteins;misc.acid and other phosphatases		GO:0003993	acid phosphatase activity	VIP1
Cre03.g201200			Mitochondrion			FAP283
Cre03.g145087	GMM:34.12	transport.metal		GO:0055085;GO:0016021;GO:0008324;GO:0006812	transmembrane transport;integral component of membrane;cation transmembrane transporter activity;cation transport	MTP1
Cre03.g172300	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane	Mitochondrion			MPC5
Cre03.g145887	GMM:29.3.3	protein.targeting.chloroplast	Chloroplast	GO:0016021	integral component of membrane	TATC
Cre03.g181250	GMM:30.11	signalling.light	Chloroplast			CGLD13
Cre03.g172322						
Cre03.g181576			Chloroplast			
Cre03.g146247	GMM:9.1.2;GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).localisation not clear;mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I		GO:0022900;GO:0016651	"electron transport chain;oxidoreductase activity, acting on NAD(P)H"	NUOS4
Cre03.g170100			Mitochondrion			
Cre03.g190550				GO:0016592;GO:0006357;GO:0001104	mediator complex;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription cofactor activity	
Cre03.g199800	GMM:5;GMM:33.99;GMM:1.1.7.1	fermentation;development.unspecified;PS.lightreaction.hydrogenase.FeFe-hydrogenase	Chloroplast			HYDA1
Cre03.g155976						
Cre03.g144947	GMM:27.3.12	RNA.regulation of transcription.C3H zinc finger family				
Cre03.g161100	GMM:29.3.1	protein.targeting.nucleus	Mitochondrion			
Cre03.g204950				GO:0003676	nucleic acid binding	
Cre03.g199535	GMM:27.3.99;GMM:27.3.23;GMM:1.1.99	RNA.regulation of transcription.unclassified;RNA.regulation of transcription.heat-shock transcription factor family (HSF);PS.lightreaction.unspecified	Chloroplast			LHL3
Cre03.g145967	GMM:29.1.10;GMM:29.1	protein.aa activation.methionine-tRNA ligase;protein.aa activation	Mitochondrion	GO:0000049	tRNA binding	
Cre03.g207152			Secretory pathway			
Cre03.g204913						
Cre03.g144667			Chloroplast			CLPT4
Cre03.g166650	GMM:28.1	DNA.synthesis/chromatin structure	Chloroplast	GO:0005524;GO:0003676	ATP binding;nucleic acid binding	CGLD3
Cre03.g187700	GMM:28.1	DNA.synthesis/chromatin structure		GO:0005524;GO:0003676	ATP binding;nucleic acid binding	HEL19
Cre03.g192100			Secretory pathway			
Cre03.g145207			Chloroplast			CPLD33
Cre03.g159100			Secretory pathway			
Cre03.g196050						
Cre03.g190050	GMM:30.3;GMM:30.1;GMM:29.4.1;GMM:29.4	signalling.calcium;signalling.in sugar and nutrient physiology;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005524;GO:0005515;GO:0004672	protein phosphorylation;ATP binding;protein binding;protein kinase activity	
Cre03.g210737			Secretory pathway			
Cre03.g172200						
Cre03.g202150	GMM:27.3.46	RNA.regulation of transcription.DNA methyltransferases				DMC2
Cre03.g192600	GMM:23.3.2.3	nucleotide metabolism.salvage.nucleoside kinases.thymidine kinase	Chloroplast	GO:0005524;GO:0004797	ATP binding;thymidine kinase activity	THK1
Cre03.g179840			Secretory pathway			
Cre03.g207250	GMM:12.2.2	N-metabolism.ammonia metabolism.glutamine synthetase				GLN4
Cre03.g163800						
Cre03.g153076	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator	Mitochondrion			RWP1
Cre03.g195388			Chloroplast			
Cre03.g178450	GMM:29.9;GMM:29.6.2.6;GMM:29.6;GMM:29.4	protein.co-chaperones;protein.folding.chaperones and co-chaperones.co-chaperones;protein.folding;protein.postranslational modification	Mitochondrion	GO:0006457;GO:0005737	protein folding;cytoplasm	CPN10
Cre03.g144444						
Cre03.g197750	GMM:21.2.2;GMM:21.2	redox.ascorbate and glutathione.glutathione;redox.ascorbate and glutathione	Chloroplast	GO:0055114;GO:0016491;GO:0016209;GO:0006979;GO:0004602	oxidation-reduction process;oxidoreductase activity;antioxidant activity;response to oxidative stress;glutathione peroxidase activity	GPX3
Cre03.g167200				GO:0007165;GO:0005515	signal transduction;protein binding	
Cre03.g169350			Chloroplast			
Cre03.g184900						
Cre03.g210065	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g150800	GMM:26.27;GMM:26.13	misc.calcineurin-like phosphoesterase family protein;misc.acid and other phosphatases				
Cre03.g161000	GMM:23.2	nucleotide metabolism.degradation		GO:0019239	deaminase activity	
Cre03.g155501			Mitochondrion	GO:0016021	integral component of membrane	
Cre03.g208721	GMM:30.3;GMM:3.3	signalling.calcium;minor CHO metabolism.sugar alcohols	Mitochondrion	GO:0015969	guanosine tetraphosphate metabolic process	CGL92
Cre03.g160900	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre03.g163650			Chloroplast			
Cre03.g158250			Mitochondrion	GO:0016020;GO:0015031	membrane;protein transport	SECY2
Cre03.g183300			Chloroplast	GO:2001070	starch binding	
Cre03.g193676			Chloroplast			
Cre03.g189150						
Cre03.g169100	GMM:30.3;GMM:3.3;GMM:29.4	signalling.calcium;minor CHO metabolism.sugar alcohols;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre03.g178050	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator	Mitochondrion	GO:0005515	protein binding	MOT51
Cre03.g149550						
Cre03.g166900	GMM:26.1	misc.misc2	Secretory pathway	GO:0055114;GO:0020037;GO:0016705;GO:0005506	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	CYP767A1
Cre03.g189605	GMM:33.99;GMM:27.3.44	development.unspecified;RNA.regulation of transcription.chromatin remodeling factors		GO:0016593;GO:0016570;GO:0006355	"Cdc73/Paf1 complex;histone modification;regulation of transcription, DNA-templated"	
Cre03.g200950						FAP273
Cre03.g144064			Chloroplast			
Cre03.g174672			Mitochondrion			
Cre03.g189500				GO:0016787	hydrolase activity	
Cre03.g153100			Secretory pathway			
Cre03.g175500			Mitochondrion	GO:0016021	integral component of membrane	
Cre03.g194800	GMM:27.1.3.14;GMM:27.1	RNA.processing.3' end processing.Clp1;RNA.processing		GO:0031124	mRNA 3'-end processing	
Cre03.g179450	GMM:29.4.1	protein.postranslational modification.kinase	Secretory pathway	GO:0016020;GO:0005044	membrane;scavenger receptor activity	SRR7
Cre03.g201215						
Cre03.g165215	GMM:29.5.2	protein.degradation.autophagy		GO:0008641;GO:0006914;GO:0005737	small protein activating enzyme activity;autophagy;cytoplasm	APG7
Cre03.g179800	GMM:1.5.3	PS.carbon concentrating mechanism.algal	Chloroplast			LCI24
Cre03.g148050	GMM:28.2	DNA.repair	Mitochondrion	GO:0006281;GO:0003684	DNA repair;damaged DNA binding	POLI1
Cre03.g206550			Chloroplast			CPLD2
Cre03.g158900	GMM:8.1.1.2;GMM:11.1.31	TCA / organic transformation.TCA.pyruvate DH.E2;lipid metabolism.FA synthesis and FA elongation.pyruvate DH	Chloroplast	GO:0016746;GO:0008152	"transferase activity, transferring acyl groups;metabolic process"	DLA2
Cre03.g166201						
Cre03.g160600	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family		GO:0043565;GO:0008270;GO:0006355;GO:0003700	"sequence-specific DNA binding;zinc ion binding;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre03.g179700	GMM:1.1.99.1	PS.lightreaction.unspecified.TEF	Mitochondrion			
Cre03.g158650						
Cre03.g164400			Chloroplast			
Cre03.g175050	GMM:34.99	transport.misc		GO:0070588;GO:0055085;GO:0016020;GO:0006811;GO:0005262;GO:0005216	calcium ion transmembrane transport;transmembrane transport;membrane;ion transport;calcium channel activity;ion channel activity	TRP13
Cre03.g205900	GMM:22.1.2	polyamine metabolism.synthesis.SAM decarboxylase		GO:0008295;GO:0006597;GO:0004014	spermidine biosynthetic process;spermine biosynthetic process;adenosylmethionine decarboxylase activity	DCA1
Cre03.g197150						
Cre03.g172650	GMM:31.6.1.1;GMM:31.1.1.2;GMM:31.1	cell.motility.eukaryotes.basal bodies;cell.organisation.cytoskeleton.mikrotubuli;cell.organisation		GO:0007017;GO:0005874;GO:0003924	microtubule-based process;microtubule;GTPase activity	BLD2
Cre03.g183150						
Cre03.g169800	GMM:28.99;GMM:27.3.99	DNA.unspecified;RNA.regulation of transcription.unclassified		GO:0016888	"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	
Cre03.g176961			Secretory pathway			
Cre03.g157725						
Cre03.g167550	GMM:31.6.1.1	cell.motility.eukaryotes.basal bodies		GO:0060271;GO:0005813;GO:0005634	cilium morphogenesis;centrosome;nucleus	CEP290
Cre03.g186450	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family	Mitochondrion	GO:0005515	protein binding	LNM1
Cre03.g188450						PTX2
Cre03.g166550			Secretory pathway			
Cre03.g186250						
Cre03.g149450			Chloroplast			
Cre03.g206145			Mitochondrion			
Cre03.g199200			Mitochondrion			
Cre03.g175351			Chloroplast			LMR2
Cre03.g206850			Secretory pathway			
Cre03.g208557			Chloroplast			
Cre03.g171600	GMM:26.13	misc.acid and other phosphatases	Chloroplast	GO:0016787	hydrolase activity	
Cre03.g203600	GMM:11.9.3.3	lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase		GO:0008081;GO:0006629	phosphoric diester hydrolase activity;lipid metabolic process	GDP6
Cre03.g144847	GMM:4.3.14;GMM:4.2.14;GMM:4.1.14;GMM:11.1.30	glycolysis.unclear/dually targeted.pyruvate kinase (PK);glycolysis.plastid branch.pyruvate kinase (PK);glycolysis.cytosolic branch.pyruvate kinase (PK);lipid metabolism.FA synthesis and FA elongation.pyruvate kinase		GO:0030955;GO:0006096;GO:0004743;GO:0000287	potassium ion binding;glycolytic process;pyruvate kinase activity;magnesium ion binding	PYK4
Cre03.g153950	GMM:34.99	transport.misc		GO:0070588;GO:0055085;GO:0016020;GO:0006811;GO:0005262;GO:0005216	calcium ion transmembrane transport;transmembrane transport;membrane;ion transport;calcium channel activity;ion channel activity	TRP12
Cre03.g193750	GMM:13.2.5.2;GMM:1.2.4.2	amino acid metabolism.degradation.serine-glycine-cysteine group.glycine;PS.photorespiration.glycine cleavage.T subunit	Mitochondrion			GCST
Cre03.g177550	GMM:31.1	cell.organisation				
Cre03.g182500	GMM:29.3.4.99	protein.targeting.secretory pathway.unspecified		GO:0048500;GO:0008312;GO:0006614	signal recognition particle;7S RNA binding;SRP-dependent cotranslational protein targeting to membrane	SRP72
Cre03.g199850			Mitochondrion			
Cre03.g194950	GMM:27.3.99;GMM:27.3.85;GMM:27.2	RNA.regulation of transcription.unclassified;RNA.regulation of transcription.sigma like plant;RNA.transcription	Chloroplast	GO:0016987;GO:0006355;GO:0006352;GO:0003700;GO:0003677	"sigma factor activity;regulation of transcription, DNA-templated;DNA-templated transcription, initiation;transcription factor activity, sequence-specific DNA binding;DNA binding"	RPOD
Cre03.g151150						
Cre03.g155600						
Cre03.g144184			Chloroplast			
Cre03.g169300	GMM:34.16	transport.ABC transporters and multidrug resistance systems		GO:0016887;GO:0016020;GO:0005524	ATPase activity;membrane;ATP binding	
Cre03.g193150						
Cre03.g194000	GMM:27.1.1	RNA.processing.splicing				
Cre03.g170800	GMM:26.23	misc.rhodanese	Chloroplast			
Cre03.g176866						
Cre03.g200200	GMM:31.3;GMM:30.6;GMM:29.4.1;GMM:29.4	cell.cycle;signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g171500			Chloroplast			
Cre03.g193900	GMM:1.1.99.1	PS.lightreaction.unspecified.TEF				
Cre03.g163900			Chloroplast			PWR3
Cre03.g149500	GMM:27.3.99	RNA.regulation of transcription.unclassified		GO:0005737	cytoplasm	
Cre03.g151900			Secretory pathway			LZY1A
Cre03.g175250	GMM:11.8.8;GMM:11.8	"lipid metabolism.exotics (steroids, squalene etc).squalene synthase;lipid metabolism.exotics (steroids, squalene etc)"		GO:0016740;GO:0009058	transferase activity;biosynthetic process	SQS1
Cre03.g159150	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre03.g171751			Secretory pathway			
Cre03.g196250	GMM:29.5.3	protein.degradation.cysteine protease	Secretory pathway	GO:0008234;GO:0006508	cysteine-type peptidase activity;proteolysis	CEP3
Cre03.g164250	GMM:31.3;GMM:29.4.1;GMM:29.4	cell.cycle;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005515;GO:0004672	protein phosphorylation;protein binding;protein kinase activity	FAP262
Cre03.g172376			Secretory pathway			
Cre03.g206000				GO:0005515	protein binding	
Cre03.g172050				GO:0006355;GO:0006289;GO:0000439	"regulation of transcription, DNA-templated;nucleotide-excision repair;core TFIIH complex"	TFB4
Cre03.g203850	GMM:23.4.1;GMM:14.1	nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase;S-assimilation.APS	Chloroplast	GO:0004781	sulfate adenylyltransferase (ATP) activity	ATS1
Cre03.g152550	GMM:33.99	development.unspecified	Secretory pathway	GO:0005515	protein binding	
Cre03.g144967	GMM:29.5.9;GMM:29.5.11.20	protein.degradation.AAA type;protein.degradation.ubiquitin.proteasom	Mitochondrion	GO:0005524	ATP binding	
Cre03.g146007			Chloroplast			
Cre03.g157326			Mitochondrion			
Cre03.g144204				GO:0051861;GO:0046836;GO:0017089;GO:0005737	glycolipid binding;glycolipid transport;glycolipid transporter activity;cytoplasm	
